id,username,wine_id,rating,comment
1,user1,31,2,Adventure|Animation|Children|Comedy|Fantasy
2,user1,1029,3,Adventure|Children|Fantasy
3,user1,1061,3,Comedy|Romance
4,user1,1129,2,Comedy|Drama|Romance
5,user1,1172,4,Comedy
6,user1,1263,2,Action|Crime|Thriller
7,user1,1287,2,Comedy|Romance
8,user1,1293,2,Adventure|Children
9,user1,1339,3,Action
10,user1,1343,2,Action|Adventure|Thriller
11,user1,1371,2,Comedy|Drama|Romance
12,user1,1405,1,Comedy|Horror
13,user1,1953,4,Adventure|Animation|Children
14,user1,2105,4,Drama
15,user1,2150,3,Action|Adventure|Romance
16,user1,2193,2,Crime|Drama
17,user1,2294,2,Drama|Romance
18,user1,2455,2,Comedy
19,user1,2968,1,Comedy
20,user2,3671,3,Action|Comedy|Crime|Drama|Thriller
21,user2,10,4,Comedy|Crime|Thriller
22,user2,17,5,Crime|Drama|Horror|Mystery|Thriller
23,user2,39,5,Action|Crime|Thriller
24,user2,47,4,Drama|Sci-Fi
25,user2,50,4,Drama|Romance
26,user2,52,3,Drama
27,user2,62,3,Children|Drama
28,user2,110,4,Drama|Romance
29,user2,144,3,Adventure|Drama|Fantasy|Mystery|Sci-Fi
30,user2,150,5,Crime|Drama
31,user2,153,4,Drama
32,user2,161,3,Mystery|Sci-Fi|Thriller
33,user2,165,3,Children|Drama
34,user2,168,3,Drama|Romance
35,user2,185,3,Crime|Drama
36,user2,186,3,Documentary|IMAX
37,user2,208,3,Children|Comedy
38,user2,222,5,Comedy|Romance
39,user2,223,1,Drama
40,user2,225,3,Drama|War
41,user2,235,3,Action|Crime|Drama
42,user2,248,3,Drama
43,user2,253,4,Action|Adventure|Fantasy
44,user2,261,4,Comedy|Drama|Thriller
45,user2,265,5,Drama|Romance
46,user2,266,5,Mystery|Thriller
47,user2,272,3,Animation|Children|Drama|Musical|Romance
48,user2,273,4,Drama|Romance
49,user2,292,3,Crime|Mystery|Thriller
50,user2,296,4,Comedy|Drama|Romance
51,user2,300,3,Adventure|Drama
52,user2,314,4,Children|Comedy
53,user2,317,2,Drama
54,user2,319,1,Drama
55,user2,339,3,Comedy|Drama|Romance
56,user2,349,4,Drama|Mystery
57,user2,350,4,Adventure|Children|Fantasy
58,user2,356,3,Drama|Thriller
59,user2,357,3,Drama
60,user2,364,3,Comedy|Crime
61,user2,367,3,Comedy|Romance
62,user2,370,2,Comedy
63,user2,371,3,Action|Sci-Fi|Thriller
64,user2,372,3,Comedy|Romance
65,user2,377,3,Comedy
66,user2,382,3,Action|Comedy|Horror|Thriller
67,user2,405,2,Action
68,user2,410,3,Comedy|Drama
69,user2,454,4,Drama|War
70,user2,457,3,Drama|Romance
71,user2,468,4,Action|Sci-Fi|Thriller
72,user2,474,2,Documentary
73,user2,480,4,Action|Crime|Drama|Thriller
74,user2,485,3,Drama|Thriller
75,user2,497,3,Children|Drama
76,user2,500,4,Crime|Drama|Romance
77,user2,508,4,Comedy|Drama
78,user2,509,4,Drama|Romance
79,user2,515,4,Comedy|Drama
80,user2,527,4,Drama|Romance
81,user2,537,4,Action|Adventure|Drama
82,user2,539,3,Children|Comedy
83,user2,550,3,Comedy
84,user2,551,5,Action|Thriller
85,user2,552,3,Drama|Horror|Thriller
86,user2,585,5,Comedy|Horror|Romance
87,user2,586,3,Comedy|Drama|Romance
88,user2,587,3,Action|Adventure|Thriller
89,user2,588,3,Comedy|Drama
90,user2,589,5,Crime|Drama
91,user2,590,5,Action|Thriller
92,user2,592,5,Documentary
93,user2,593,3,Drama|Thriller
94,user2,616,3,Adventure|Comedy|Crime|Romance
95,user2,661,4,Comedy
96,user3,720,4,Mystery|Sci-Fi|Thriller
97,user3,60,3,Comedy
98,user3,110,4,Drama|Romance
99,user3,247,3,Adventure|Children|Comedy|Musical
100,user3,267,3,Documentary
101,user3,296,4,Action|Drama|War
102,user3,318,5,Crime|Drama|Thriller
103,user3,355,2,Action|Adventure|Comedy|Crime
104,user3,356,5,Drama|Mystery
105,user3,377,2,Drama
106,user3,527,3,Documentary
107,user3,588,3,Crime|Drama
108,user3,592,3,Comedy|Romance
109,user3,593,3,Comedy
110,user3,595,2,Drama
111,user3,736,3,Comedy|Romance
112,user3,778,4,Drama|Mystery|Romance
113,user3,866,3,Drama
114,user3,1197,5,Comedy
115,user3,1210,3,Adventure|Children|Fantasy
116,user3,1235,4,Comedy|Romance
117,user3,1271,3,Drama
118,user3,1378,4,Drama|Romance
119,user3,1580,3,Thriller
120,user3,1721,4,Comedy
121,user3,1884,4,Documentary
122,user3,2028,4,Drama|Romance
123,user3,2318,4,Comedy
124,user3,2513,3,Comedy
125,user3,2694,3,Action|Comedy|Crime|Drama|Thriller
126,user3,2702,3,Adventure|Children
127,user3,2716,3,Drama
128,user3,2762,3,Drama
129,user3,2841,4,Crime|Drama|Thriller
130,user3,2858,4,Adventure|Drama|IMAX
131,user3,2959,5,Action|Drama|Romance|War
132,user3,3243,3,Drama|Horror
133,user3,3510,4,Action|Adventure|Comedy|Crime
134,user3,3949,5,Drama
135,user3,5349,3,Adventure|Drama|War
136,user3,5669,3,Comedy|Drama
137,user3,6377,3,Comedy|War
138,user3,7153,2,Adventure|Children
139,user3,7361,3,Crime|Drama|Mystery
140,user3,8622,3,Action|Adventure|Mystery|Sci-Fi
141,user3,8636,3,Drama|Thriller|War
142,user3,27369,3,Documentary
143,user3,44191,3,Action|Romance|Western
144,user3,48783,4,Crime|Film-Noir|Mystery|Thriller
145,user3,50068,4,Action|Crime|Thriller
146,user3,58559,3,Comedy|Crime|Drama
147,user4,84236,4,Drama
148,user4,10,4,Action|Drama|Romance
149,user4,34,5,Adventure|Children|Drama
150,user4,112,5,Action|Adventure|Crime|Thriller
151,user4,141,5,Comedy|Drama
152,user4,153,4,Action|Sci-Fi|Thriller
153,user4,173,3,Action|Crime|Sci-Fi
154,user4,185,3,Comedy
155,user4,260,5,Drama
156,user4,289,4,Comedy
157,user4,296,5,Horror
158,user4,329,3,Comedy|Drama
159,user4,349,5,Drama|Romance
160,user4,356,5,Comedy|Romance
161,user4,357,5,Action|Children
162,user4,364,5,Comedy|Horror|Thriller
163,user4,367,4,Drama
164,user4,380,3,Action|Crime|Thriller
165,user4,410,3,Comedy|Romance
166,user4,431,3,Comedy
167,user4,434,4,Fantasy|Horror|Mystery
168,user4,435,1,Comedy|Fantasy
169,user4,440,4,Thriller
170,user4,442,4,Drama|Romance
171,user4,464,4,Drama
172,user4,480,5,Comedy|Drama
173,user4,541,5,Comedy|Drama|Romance
174,user4,588,5,Horror|Sci-Fi
175,user4,589,5,Action|Crime|Drama|Mystery|Sci-Fi|Thriller
176,user4,590,3,Drama|Musical|Romance
177,user4,594,5,Thriller
178,user4,596,5,Drama|Fantasy
179,user4,610,4,Drama|Romance
180,user4,616,5,Comedy
181,user4,858,5,Action
182,user4,903,5,Comedy|Drama
183,user4,910,4,Documentary
184,user4,913,5,Drama|Romance
185,user4,919,5,Action|Adventure|Sci-Fi
186,user4,1011,4,Drama
187,user4,1016,4,Drama
188,user4,1022,5,Drama
189,user4,1028,5,Drama|War
190,user4,1030,5,Drama|Romance
191,user4,1031,5,Comedy
192,user4,1032,5,Drama|Thriller
193,user4,1033,5,Comedy|Drama
194,user4,1036,5,Drama
195,user4,1073,5,Horror
196,user4,1079,5,Drama|Romance
197,user4,1089,5,Comedy
198,user4,1097,5,Comedy|Drama|Romance
199,user4,1125,5,Drama|Thriller
200,user4,1127,5,Action|Thriller
201,user4,1136,5,Comedy
202,user4,1194,5,Drama|Thriller
203,user4,1196,5,Drama|Thriller
204,user4,1197,5,Adventure|Comedy
205,user4,1198,5,Comedy|Drama|Romance
206,user4,1200,5,Drama
207,user4,1206,5,Comedy
208,user4,1208,5,Comedy|Drama
209,user4,1210,5,Action|Comedy|Romance
210,user4,1213,5,Comedy|Romance
211,user4,1214,5,Adventure|Children
212,user4,1219,5,Animation|Children|Comedy|Romance
213,user4,1220,5,Thriller
214,user4,1222,5,Children|Drama
215,user4,1225,5,Drama|Musical
216,user4,1230,5,Children|Comedy|Fantasy
217,user4,1240,5,Animation|Children
218,user4,1243,5,Crime|Drama
219,user4,1257,5,Documentary
220,user4,1258,5,Crime|Drama
221,user4,1259,4,Comedy
222,user4,1265,5,Drama|Romance
223,user4,1270,5,Children|Comedy
224,user4,1278,5,Action
225,user4,1282,5,Comedy|Romance
226,user4,1285,4,Drama|Horror
227,user4,1288,5,Drama
228,user4,1291,5,Comedy
229,user4,1298,4,Comedy|Sci-Fi
230,user4,1307,4,Mystery|Thriller
231,user4,1332,4,Adventure|Children|Comedy|Fantasy|Romance
232,user4,1334,5,Crime|Drama|Thriller
233,user4,1344,5,Action|Adventure|Sci-Fi
234,user4,1356,4,Drama
235,user4,1371,4,Children|Drama
236,user4,1372,3,Drama
237,user4,1374,4,Drama
238,user4,1376,3,Drama|Fantasy|Romance
239,user4,1377,3,Drama|Romance|War|Western
240,user4,1380,5,Comedy
241,user4,1387,5,Crime|Drama
242,user4,1388,4,Drama
243,user4,1396,5,Drama|Romance
244,user4,1544,3,Drama
245,user4,1580,5,Comedy|Drama
246,user4,1663,4,Drama|Horror|Sci-Fi
247,user4,1674,5,Comedy
248,user4,1805,1,Comedy
249,user4,1858,5,Comedy|Romance
250,user4,1917,4,Drama
251,user4,1918,2,Comedy
